"Time","run","random_seed","gamma0","gamma0d","gamma0t","gammaI","Density","GammaEp","Rate","Plasmid","G","Gd","Gr","Gt","N","Nd","Nr","Nt","RCh","RCv","RCt","WetLabRateCurve"
"195.0",2,456111,"0.051762940735183796","0.051762940735183796","0.0","0.25866916588566075","0.053860819828408006","4.235471480929183E-11","0.07745591939546599","OriTR388","33.80923493754068","33.195700748064624","32.94866243393798","93.04772099618619","2517600.0","135600.0","2197500.0","184500.0","0.44878048780487806","0.551219512195122","0.0","0.07744384999999998"
"205.0",2,456111,"0.053633042419322104","0.053633042419322104","0.0","0.2876190476190476","0.05473351001177856","4.018584689941568E-11","0.08519917448697481","OriTR388","34.88299471415265","34.13012532560467","32.94866243393798","87.60433094852166","2716800.0","148700.0","2349300.0","218800.0","0.48308957952468007","0.5169104204753199","0.0","0.08518214999999998"
"215.0",2,456111,"0.05650826897063316","0.05650826897063316","0.0","0.3069447736430434","0.05614262339787292","3.7713532028608405E-11","0.09288887283758894","OriTR388","35.91221052656879","34.94294875122535","36.82891444000897","83.59887351860823","2933600.0","164700.0","2511700.0","257200.0","0.5034992223950233","0.4965007776049767","0.0","0.09300404999999998"
"225.0",2,456111,"0.06093890474142986","0.06093890474142986","0.0","0.3247240158300354","0.05671896748070353","3.574318198239694E-11","0.10087528086119588","OriTR388","36.92210617040556","35.8587872593295","37.93406848890116","80.46555143857582","3161200.0","179300.0","2681100.0","300800.0","0.5182845744680851","0.4817154255319149","0.0","0.10086875000000002"
"235.0",2,456111,"0.06531091122409073","0.06531091122409073","0.0","0.3370023848835076","0.05801666028905307","3.356965182499398E-11","0.10874320354977814","OriTR388","37.92071476893401","36.65995916610916","37.93406848890116","78.19981205185987","3397300.0","197100.0","2852200.0","348000.0","0.5278735632183909","0.4721264367816092","0.0","0.10873545000000003"
"245.0",2,456111,"0.06917662465215256","0.06917662465215256","0.0","0.3435213786376199","0.05914804852610199","3.1569704904320605E-11","0.11657282884564894","OriTR388","38.90512206519377","37.47223787388812","37.93406848890116","76.48422581346297","3643400.0","215500.0","3028300.0","399600.0","0.5287787787787788","0.47122122122122123","0.0","0.11656335000000001"
"255.0",2,456111,"0.07365430439298588","0.07365430439298588","0.0","0.3486119144013881","0.06028940965552568","2.9649130781068044E-11","0.12433566814750212","OriTR388","39.86514877603038","38.26094835139155","37.93406848890116","75.1520007969013","3904500.0","235400.0","3212900.0","456200.0","0.5284962735642262","0.47150372643577376","0.0","0.12431165000000004"
"265.0",2,456111,"0.0774069393382353","0.0774069393382353","0.0","0.3485514743921366","0.06152961472110408","2.7809787145094958E-11","0.1318423202614379","OriTR388","40.818939302357904","39.03107920888868","42.25154610430188","74.21378106678229","4173600.0","256800.0","3400400.0","516400.0","0.5218822618125484","0.47811773818745157","0.0","0.13193955000000002"
"275.0",2,456111,"0.08195874887904563","0.08195874887904563","0.0","0.35073845796022796","0.06248034149629297","2.6192275827402336E-11","0.13942342255985046","OriTR388","41.76596356380968","39.83393765321129","42.25154610430188","73.49671019163843","4451000.0","278100.0","3591100.0","581800.0","0.5183911997249914","0.4816088002750086","0.0","0.13940625"
"285.0",2,456111,"0.08618510972999459","0.08618510972999459","0.0","0.35038792199622565","0.06331937459228551","2.4618501606108712E-11","0.1466795470884256","OriTR388","42.67667450149531","40.61801573795164","42.25154610430188","72.94777160079579","4752100.0","300900.0","3798300.0","652900.0","0.5118701179353653","0.4881298820646347","0.0","0.14667095"
