"tick","Population (D+R+T)","Population (R)","Population (D)","Population (T)"
392.0,"6554300.0","4481900.0","686000.0","1386400.0"
393.0,"6570100.0","4493400.0","688500.0","1388200.0"
394.0,"6584200.0","4500300.0","690300.0","1393600.0"
395.0,"6598700.0","4511400.0","692100.0","1395200.0"
396.0,"6610700.0","4517400.0","694000.0","1399300.0"
397.0,"6623200.0","4526000.0","696300.0","1400900.0"
398.0,"6634000.0","4532200.0","697700.0","1404100.0"
399.0,"6643900.0","4539300.0","699300.0","1405300.0"
400.0,"6652500.0","4545900.0","700600.0","1406000.0"
401.0,"6671700.0","4558400.0","704500.0","1408800.0"
402.0,"6688700.0","4570800.0","707800.0","1410100.0"
403.0,"6703000.0","4575800.0","710400.0","1416800.0"
404.0,"6718500.0","4584200.0","713100.0","1421200.0"
405.0,"6732500.0","4594900.0","715300.0","1422300.0"
406.0,"6746600.0","4602000.0","718000.0","1426600.0"
407.0,"6757600.0","4611000.0","719000.0","1427600.0"
408.0,"6767200.0","4617700.0","720800.0","1428700.0"
409.0,"6778200.0","4623600.0","722600.0","1432000.0"
410.0,"6786600.0","4630000.0","723800.0","1432800.0"
411.0,"6793100.0","4633700.0","724800.0","1434600.0"
412.0,"6813700.0","4642500.0","728800.0","1442400.0"
413.0,"6830800.0","4654600.0","731600.0","1444600.0"
414.0,"6844100.0","4664300.0","733300.0","1446500.0"
415.0,"6857600.0","4671000.0","735100.0","1451500.0"
416.0,"6871300.0","4681500.0","737200.0","1452600.0"
417.0,"6885200.0","4691900.0","739500.0","1453800.0"
418.0,"6895500.0","4697500.0","741600.0","1456400.0"
419.0,"6904000.0","4702600.0","742700.0","1458700.0"
420.0,"6912700.0","4709500.0","743600.0","1459600.0"
421.0,"6930100.0","4714500.0","747200.0","1468400.0"
422.0,"6947500.0","4727400.0","750000.0","1470100.0"
423.0,"6963000.0","4738400.0","752500.0","1472100.0"
424.0,"6978600.0","4745000.0","755400.0","1478200.0"
425.0,"6990600.0","4752500.0","758400.0","1479700.0"
426.0,"7004500.0","4759100.0","761500.0","1483900.0"
427.0,"7015700.0","4767400.0","763300.0","1485000.0"
428.0,"7027100.0","4773000.0","764800.0","1489300.0"
429.0,"7036300.0","4779900.0","766400.0","1490000.0"
430.0,"7045500.0","4784900.0","768600.0","1492000.0"
431.0,"7054400.0","4791300.0","769900.0","1493200.0"
432.0,"7073200.0","4796400.0","772600.0","1504200.0"
433.0,"7089300.0","4807000.0","776900.0","1505400.0"
434.0,"7104200.0","4817200.0","779700.0","1507300.0"
435.0,"7117500.0","4822100.0","781600.0","1513800.0"
436.0,"7132100.0","4832100.0","783800.0","1516200.0"
437.0,"7144200.0","4840200.0","786400.0","1517600.0"
438.0,"7155900.0","4846700.0","788200.0","1521000.0"
439.0,"7165600.0","4853900.0","790100.0","1521600.0"
440.0,"7174900.0","4858700.0","791900.0","1524300.0"
441.0,"7183800.0","4864900.0","793200.0","1525700.0"
442.0,"7202700.0","4869700.0","796700.0","1536300.0"
443.0,"7215300.0","4873400.0","798600.0","1543300.0"
444.0,"7228700.0","4881500.0","801900.0","1545300.0"
445.0,"7243600.0","4888500.0","805100.0","1550000.0"
446.0,"7256900.0","4897900.0","807700.0","1551300.0"
447.0,"7268800.0","4906100.0","810200.0","1552500.0"
448.0,"7279900.0","4911500.0","811900.0","1556500.0"
449.0,"7288400.0","4917000.0","814100.0","1557300.0"
450.0,"7297100.0","4921500.0","815200.0","1560400.0"
451.0,"7305500.0","4927500.0","816600.0","1561400.0"
452.0,"7324100.0","4931800.0","820500.0","1571800.0"
453.0,"7341400.0","4943300.0","823800.0","1574300.0"
454.0,"7355600.0","4953000.0","826300.0","1576300.0"
455.0,"7368300.0","4957900.0","828400.0","1582000.0"
456.0,"7381300.0","4966500.0","831000.0","1583800.0"
457.0,"7393000.0","4971700.0","832800.0","1588500.0"
458.0,"7402800.0","4978100.0","834700.0","1590000.0"
459.0,"7413000.0","4985600.0","836200.0","1591200.0"
460.0,"7424000.0","4991800.0","838100.0","1594100.0"
461.0,"7441800.0","5004000.0","841900.0","1595900.0"
462.0,"7459200.0","5008200.0","844500.0","1606500.0"
463.0,"7474700.0","5014300.0","847900.0","1612500.0"
464.0,"7488500.0","5023600.0","851300.0","1613600.0"
465.0,"7501600.0","5029400.0","853600.0","1618600.0"
466.0,"7513300.0","5037900.0","855200.0","1620200.0"
467.0,"7524800.0","5044000.0","857500.0","1623300.0"
468.0,"7535300.0","5051200.0","859600.0","1624500.0"
469.0,"7545000.0","5056100.0","861300.0","1627600.0"
470.0,"7553200.0","5061700.0","862900.0","1628600.0"
471.0,"7573000.0","5066500.0","867500.0","1639000.0"
472.0,"7591400.0","5078700.0","871200.0","1641500.0"
473.0,"7605200.0","5087800.0","873700.0","1643700.0"
474.0,"7619400.0","5094100.0","875800.0","1649500.0"
475.0,"7630700.0","5101900.0","877900.0","1650900.0"
476.0,"7642200.0","5106800.0","879900.0","1655500.0"
477.0,"7653400.0","5114700.0","881900.0","1656800.0"
478.0,"7666300.0","5121400.0","883900.0","1661000.0"
479.0,"7676600.0","5128400.0","885800.0","1662400.0"
480.0,"7686000.0","5135000.0","887400.0","1663600.0"
481.0,"7693800.0","5138900.0","889100.0","1665800.0"
482.0,"7713500.0","5152500.0","892500.0","1668500.0"
483.0,"7730700.0","5156000.0","895700.0","1679000.0"
484.0,"7745800.0","5161800.0","898200.0","1685800.0"
485.0,"7760400.0","5172700.0","900200.0","1687500.0"
486.0,"7772800.0","5178000.0","902600.0","1692200.0"
487.0,"7785700.0","5186400.0","905900.0","1693400.0"
488.0,"7798300.0","5195400.0","908200.0","1694700.0"
489.0,"7808100.0","5199800.0","909700.0","1698600.0"
490.0,"7818600.0","5207300.0","911100.0","1700200.0"
491.0,"7837100.0","5210200.0","914800.0","1712100.0"
