"tick","run","random_seed","gamma0(N)","gamma0(D)","gamma0(T)"
317.0,1,510102448,"0.8084795321637427","0.8084795321637427","0.0"
318.0,1,510102448,"0.8092047771628313","0.8092047771628313","0.0"
319.0,1,510102448,"0.809758931164682","0.809758931164682","0.0"
320.0,1,510102448,"0.8100348027842227","0.8100348027842227","0.0"
321.0,1,510102448,"0.8088618592528236","0.8088618592528236","0.0"
322.0,1,510102448,"0.8090830199595025","0.8090830199595025","0.0"
323.0,1,510102448,"0.8122332859174964","0.8122332859174964","0.0"
324.0,1,510102448,"0.8019662921348315","0.8019662921348315","0.0"
325.0,1,510102448,"0.8036211699164345","0.8036211699164345","0.0"
326.0,1,510102448,"0.8051409618573798","0.8051409618573798","0.0"
327.0,1,510102448,"0.8060522696011004","0.8060522696011004","0.0"
328.0,1,510102448,"0.8066904304908143","0.8066904304908143","0.0"
329.0,1,510102448,"0.8071663019693655","0.8071663019693655","0.0"
330.0,1,510102448,"0.8076398362892224","0.8076398362892224","0.0"
331.0,1,510102448,"0.8080065359477124","0.8080065359477124","0.0"
332.0,1,510102448,"0.8103819257665411","0.8103819257665411","0.0"
333.0,1,510102448,"0.8062617072518062","0.8062617072518062","0.0"
334.0,1,510102448,"0.8073955839318968","0.8073955839318968","0.0"
335.0,1,510102448,"0.8079575596816976","0.8079575596816976","0.0"
336.0,1,510102448,"0.8087186261558784","0.8087186261558784","0.0"
337.0,1,510102448,"0.8090213663940913","0.8090213663940913","0.0"
338.0,1,510102448,"0.80927291886196","0.80927291886196","0.0"
339.0,1,510102448,"0.8097240473061761","0.8097240473061761","0.0"
340.0,1,510102448,"0.8099238645313731","0.8099238645313731","0.0"
341.0,1,510102448,"0.8100734522560336","0.8100734522560336","0.0"
342.0,1,510102448,"0.8","0.8","0.0"
343.0,1,510102448,"0.8022540983606558","0.8022540983606558","0.0"
344.0,1,510102448,"0.8036123123887051","0.8036123123887051","0.0"
345.0,1,510102448,"0.8047052871237035","0.8047052871237035","0.0"
346.0,1,510102448,"0.8052963430012611","0.8052963430012611","0.0"
347.0,1,510102448,"0.8057861635220126","0.8057861635220126","0.0"
348.0,1,510102448,"0.8060788746546094","0.8060788746546094","0.0"
349.0,1,510102448,"0.8063221274460612","0.8063221274460612","0.0"
350.0,1,510102448,"0.8063221274460612","0.8063221274460612","0.0"
351.0,1,510102448,"0.8063707047905694","0.8063707047905694","0.0"
352.0,1,510102448,"0.8082940153960765","0.8082940153960765","0.0"
353.0,1,510102448,"0.8090999010880316","0.8090999010880316","0.0"
354.0,1,510102448,"0.8096177558569667","0.8096177558569667","0.0"
355.0,1,510102448,"0.8101794934841406","0.8101794934841406","0.0"
356.0,1,510102448,"0.8081922982585235","0.8081922982585235","0.0"
357.0,1,510102448,"0.8086147821830642","0.8086147821830642","0.0"
358.0,1,510102448,"0.8088019559902201","0.8088019559902201","0.0"
359.0,1,510102448,"0.8088954056695992","0.8088954056695992","0.0"
360.0,1,510102448,"0.809035409035409","0.809035409035409","0.0"
361.0,1,510102448,"0.8091286307053942","0.8091286307053942","0.0"
362.0,1,510102448,"0.8091286307053942","0.8091286307053942","0.0"
363.0,1,510102448,"0.8101941747572815","0.8101941747572815","0.0"
364.0,1,510102448,"0.8076457778853133","0.8076457778853133","0.0"
365.0,1,510102448,"0.8084798843652132","0.8084798843652132","0.0"
366.0,1,510102448,"0.8087102983638114","0.8087102983638114","0.0"
367.0,1,510102448,"0.8088942307692307","0.8088942307692307","0.0"
368.0,1,510102448,"0.8090778097982709","0.8090778097982709","0.0"
369.0,1,510102448,"0.8093067881986088","0.8093067881986088","0.0"
370.0,1,510102448,"0.8093982258451211","0.8093982258451211","0.0"
371.0,1,510102448,"0.8094439117929051","0.8094439117929051","0.0"
372.0,1,510102448,"0.8102625298329356","0.8102625298329356","0.0"
373.0,1,510102448,"0.8087184373511196","0.8087184373511196","0.0"
374.0,1,510102448,"0.8089914367269267","0.8089914367269267","0.0"
375.0,1,510102448,"0.8093089527428164","0.8093089527428164","0.0"
376.0,1,510102448,"0.8093542260208927","0.8093542260208927","0.0"
377.0,1,510102448,"0.8093994778067886","0.8093994778067886","0.0"
378.0,1,510102448,"0.8093994778067886","0.8093994778067886","0.0"
379.0,1,510102448,"0.8094899169632266","0.8094899169632266","0.0"
380.0,1,510102448,"0.8095351043643264","0.8095351043643264","0.0"
381.0,1,510102448,"0.809580270334361","0.809580270334361","0.0"
382.0,1,510102448,"0.8104791125796554","0.8104791125796554","0.0"
383.0,1,510102448,"0.808570755827643","0.808570755827643","0.0"
384.0,1,510102448,"0.808840818245944","0.808840818245944","0.0"
385.0,1,510102448,"0.8091549295774648","0.8091549295774648","0.0"
386.0,1,510102448,"0.8094233473980309","0.8094233473980309","0.0"
387.0,1,510102448,"0.8096464528213533","0.8096464528213533","0.0"
388.0,1,510102448,"0.8097355487947577","0.8097355487947577","0.0"
389.0,1,510102448,"0.8098245614035088","0.8098245614035088","0.0"
390.0,1,510102448,"0.8099134907645545","0.8099134907645545","0.0"
391.0,1,510102448,"0.8100023369946249","0.8100023369946249","0.0"
392.0,1,510102448,"0.8098130841121496","0.8098130841121496","0.0"
393.0,1,510102448,"0.8107856810785681","0.8107856810785681","0.0"
394.0,1,510102448,"0.8089053803339518","0.8089053803339518","0.0"
395.0,1,510102448,"0.8094797687861272","0.8094797687861272","0.0"
396.0,1,510102448,"0.8099192618223761","0.8099192618223761","0.0"
397.0,1,510102448,"0.8100944918183913","0.8100944918183913","0.0"
398.0,1,510102448,"0.8099078341013825","0.8099078341013825","0.0"
399.0,1,510102448,"0.8100828729281768","0.8100828729281768","0.0"
400.0,1,510102448,"0.8093376264949402","0.8093376264949402","0.0"
401.0,1,510102448,"0.8094690875660767","0.8094690875660767","0.0"
402.0,1,510102448,"0.8094690875660767","0.8094690875660767","0.0"
403.0,1,510102448,"0.810384263494968","0.810384263494968","0.0"
404.0,1,510102448,"0.8083504449007529","0.8083504449007529","0.0"
405.0,1,510102448,"0.8087431693989071","0.8087431693989071","0.0"
406.0,1,510102448,"0.809134287661895","0.809134287661895","0.0"
407.0,1,510102448,"0.809437386569873","0.809437386569873","0.0"
408.0,1,510102448,"0.8096532970768185","0.8096532970768185","0.0"
409.0,1,510102448,"0.80969642048029","0.80969642048029","0.0"
410.0,1,510102448,"0.8098256735340729","0.8098256735340729","0.0"
411.0,1,510102448,"0.80986871887732","0.80986871887732","0.0"
412.0,1,510102448,"0.8105975197294251","0.8105975197294251","0.0"
413.0,1,510102448,"0.8085919928025191","0.8085919928025191","0.0"
414.0,1,510102448,"0.8089357880556803","0.8089357880556803","0.0"
415.0,1,510102448,"0.8091500336398295","0.8091500336398295","0.0"
416.0,1,510102448,"0.8093637992831542","0.8093637992831542","0.0"
417.0,1,510102448,"0.809577086596554","0.809577086596554","0.0"
418.0,1,510102448,"0.8096622679490046","0.8096622679490046","0.0"
419.0,1,510102448,"0.8098324022346368","0.8098324022346368","0.0"
420.0,1,510102448,"0.8099598034836981","0.8099598034836981","0.0"
421.0,1,510102448,"0.8099598034836981","0.8099598034836981","0.0"
422.0,1,510102448,"0.8108468548566348","0.8108468548566348","0.0"
423.0,1,510102448,"0.8081524147097917","0.8081524147097917","0.0"
424.0,1,510102448,"0.8086187845303867","0.8086187845303867","0.0"
425.0,1,510102448,"0.8090828924162258","0.8090828924162258","0.0"
426.0,1,510102448,"0.8094609460946095","0.8094609460946095","0.0"
